CTP_KOR_NM,CTPRVN_CD,CTP_ENG_NM,votes_tlt,ballot_tlt,pgh,mji,invalid_tlt,abstain_tlt,vote_diff
강원도,42,Gangwon-do,6078507.0,4471584.0,2771370.0,1661420.0,17124.0,1606923.0,1109950.0
경기도,41,Gyeonggi-do,46287427.0,34617269.0,17421155.0,16970618.0,101568.0,11670158.0,450537.0
경상남도,48,Gyeongsangnam-do,12845004.0,9866321.0,6206076.0,3541984.0,66454.0,2978683.0,2664092.0
경상북도,47,Gyeongsangbuk-do,10744509.0,8388424.0,6769912.0,1531983.0,39543.0,2356085.0,5237929.0
광주광역시,29,Gwangju,5508925.0,4420122.0,338200.0,4057905.0,13176.0,1088803.0,-3719705.0
대구광역시,27,Daegu,9828960.0,7816580.0,6264585.0,1509942.0,18010.0,2012380.0,4754643.0
대전광역시,30,Daejeon,5835863.0,4454275.0,2222740.0,2205830.0,11363.0,1381588.0,16910.0
부산광역시,26,Busan,14383934.0,10942485.0,6547305.0,4333505.0,29270.0,3441449.0,2213800.0
서울특별시,11,Seoul,41473115.0,31104649.0,14918462.0,15917303.0,149520.0,10368466.0,-998841.0
세종특별자치시,36,Sejong-si,432067.0,319208.0,165431.0,150983.0,1287.0,112859.0,14448.0
울산광역시,31,Ulsan,4370543.0,3420920.0,2044357.0,1350631.0,11525.0,949623.0,693726.0
인천광역시,28,Incheon,11084556.0,8178961.0,4210480.0,3916309.0,22501.0,2905595.0,294171.0
전라남도,46,Jeollanam-do,7514632.0,5735470.0,562854.0,5093367.0,38985.0,1779162.0,-4530513.0
전라북도,45,Jeollabuk-do,7310160.0,5615507.0,734461.0,4825784.0,26314.0,1694653.0,-4091323.0
제주특별자치도,50,Jeju-do,2218851.0,1620147.0,815430.0,787903.0,7596.0,598704.0,27527.0
충청남도,44,Chungcheongnam-do,7910799.0,5753295.0,3254396.0,2443506.0,24347.0,2157504.0,810890.0
충청북도,43,Chungcheongbuk-do,6093206.0,4556140.0,2558372.0,1957915.0,17243.0,1537066.0,600457.0
