"year","software","citations"
2010,"R",21900
2011,"R",25200
2012,"R",28400
2013,"R",30800
2014,"R",32400
2015,"R",38100
2016,"R",47600
2017,"R",60400
2018,"R",63900
2019,"R",47200
2010,"SPSS",489000
2011,"SPSS",419000
2012,"SPSS",411000
2013,"SPSS",395000
2014,"SPSS",375000
2015,"SPSS",324000
2016,"SPSS",272000
2017,"SPSS",186000
2018,"SPSS",159000
2019,"SPSS",83600
2010,"SAS",91100
2011,"SAS",97200
2012,"SAS",99300
2013,"SAS",94100
2014,"SAS",86900
2015,"SAS",77600
2016,"SAS",68500
2017,"SAS",52800
2018,"SAS",43000
2019,"SAS",35100
2010,"STATA",15500
2011,"STATA",17300
2012,"STATA",19600
2013,"STATA",22500
2014,"STATA",25600
2015,"STATA",32500
2016,"STATA",35900
2017,"STATA",34100
2018,"STATA",36600
2019,"STATA",35500
