year,software,citations
2010,R,20800
2011,R,21700
2012,R,23600
2013,R,25800
2014,R,28200
2015,R,32700
2016,R,44000
2017,R,58800
2018,R,68900
2019,R,67300
2020,R,54000
2010,SPSS,521000
2011,SPSS,468000
2012,SPSS,498000
2013,SPSS,487000
2014,SPSS,432000
2015,SPSS,386000
2016,SPSS,322000
2017,SPSS,270000
2018,SPSS,211000
2019,SPSS,149000
2020,SPSS,86300
2010,SAS,96700
2011,SAS,98800
2012,SAS,107000
2013,SAS,102000
2014,SAS,91400
2015,SAS,85700
2016,SAS,77200
2017,SAS,66300
2018,SAS,57500
2019,SAS,42000
2020,SAS,36400
2010,STATA,14200
2011,STATA,16900
2012,STATA,18900
2013,STATA,21600
2014,STATA,23600
2015,STATA,32400
2016,STATA,38400
2017,STATA,44700
2018,STATA,44700
2019,STATA,40200
2020,STATA,38200
